"hit:word","hit_count"
".","88"
"de","88"
"van","71"
"en","48"
",","47"
"het","44"
"een","38"
"in","37"
"op","28"
"te","24"
"voor","24"
"is","23"
"met","18"
"(","17"
")","17"
"'","16"
":","14"
"worden","13"
"De","12"
"zijn","11"
"-","10"
"""","10"
"die","10"
"Het","10"
"/","9"
"IST","9"
";","8"
"dat","8"
"om","8"
"ook","8"
"2003","7"
"zal","7"
"tot","7"
"heeft","7"
"u","7"
"kunnen","7"
"Language","6"
"of","6"
"informatie","6"
"project","6"
"kan","6"
"naar","6"
"uit","6"
"nieuwe","5"
"website","5"
"gebied","5"
"programma","5"
"er","5"
"twee","5"
"?","4"
"CTB","4"
"1","4"
"2","4"
"4","4"
"aan","4"
"gegevens","4"
"deze","4"
"onderzoek","4"
"studie","4"
"rapport","4"
"taal","4"
"taal-","4"
"wordt","4"
"bij","4"
"technische","4"
"ontwikkeling","4"
"media","4"
"Textkernel","4"
"The","4"
"via","4"
"juni","4"
"EG-Liaison","4"
"EN","4"
"aspecten","4"
"hebben","4"
"Senter","4"
"waarin","3"
"24","3"
"25","3"
"3","3"
"Daarnaast","3"
"spraaktechnologienieuws","3"
"staat","3"
"human","3"
"leveren","3"
"geen","3"
"der","3"
"informatica","3"
"projecten","3"
"projectgroepen","3"
"studenten","3"
"dit","3"
"maar","3"
"verschillende","3"
"interaction","3"
"Meer","3"
"Blueprint","3"
"zich","3"
"jaar","3"
"Een","3"
"opleiding","3"
"als","3"
"zullen","3"
"oproep","3"
"Amsterdam","3"
"toepassing","3"
"elkaar","3"
"over","3"
"volledige","3"
"ervaring","3"
"Voor","3"
"augustus","3"
"tweede","3"
"Faculteit","3"
"L&C","3"
"Spaans","3"
"Universiteit","2"
"&","2"
"waar","2"
"belangrijk","2"
"uur","2"
"belangrijkste","2"
"cursus","2"
"CV's","2"
"nog","2"
"gaat","2"
"Vakantietaal.nl","2"
"2000","2"
"2de","2"
"5","2"
"lastminute","2"
"NT2-onderwijs","2"
"90","2"
"dan","2"
"Human","2"
"aandacht","2"
"stand","2"
"leren","2"
"Letteren","2"
"beschikbaar","2"
"BESCHIKBAAR","2"
"Den","2"
"proces","2"
"IN","2"
"indienen","2"
"aantal","2"
"gekozen","2"
"projectvoorstel","2"
"dienst","2"
"betekent","2"
"onderwerpen","2"
"onderwijs","2"
"inhoud","2"
"Dit","2"
"maatschappelijke","2"
"documenten","2"
"ACLC","2"
"door","2"
"taalcursus","2"
